"autor","l0","l1","l2","gender"
"Rima Al Ali","GreaterAfrican","Muslim","\N","F"
"Rima Bouchakri","Asian","IndianSubContinent","\N","F"
"Rimma V. Nehme","GreaterAfrican","Muslim","\N","F"
"Rina Azoulay-Schwartz","GreaterEuropean","EastEuropean","\N","F"
"Rina Barber","GreaterEuropean","British","\N","F"
"Rina Dechter","GreaterEuropean","Jewish","\N","F"
"Rina Doherty","GreaterEuropean","British","\N","F"
"Rina Nagano","Asian","GreaterEastAsian","Japanese","F"
"Rina Panigrahy","Asian","IndianSubContinent","\N","F"
"Rina R. Wehbe","GreaterAfrican","Muslim","\N","F"
"Rina Singh","Asian","IndianSubContinent","\N","F"
"Rina Zviel-Girshin","GreaterEuropean","Jewish","\N","F"
"Rinat B. Rosenberg-Kima","GreaterEuropean","Jewish","\N","F"
"Rinat Ben Avraham","GreaterAfrican","Muslim","\N","F"
"Rinat Khoussainov","GreaterAfrican","Muslim","\N","F"
"Rini Kaushik","Asian","IndianSubContinent","\N","F"
"Rini T. Kaushik","Asian","IndianSubContinent","\N","F"
"Rini van Solingen","GreaterEuropean","WestEuropean","Germanic","F"
"Rinkal Patel","Asian","IndianSubContinent","\N","F"
"Rinku Dewri","GreaterEuropean","British","\N","F"
"Ripal Nathuji","Asian","IndianSubContinent","\N","F"
