"autor","l0","l1","l2","gender"
"Ragnhild Van Der Straeten","GreaterEuropean","WestEuropean","Germanic","F"
"Rahaf Aljundi","GreaterAfrican","Muslim","\N","F"
"Raheleh B. Dilmaghani","GreaterAfrican","Muslim","\N","F"
"Raheleh Dimaghani","GreaterAfrican","Muslim","\N","F"
"Raheleh Salari","GreaterAfrican","Muslim","\N","F"
"Rahma Djiroun","GreaterAfrican","Africans","\N","F"
"Rahnuma Islam Nishat","GreaterAfrican","Muslim","\N","F"
"Raia Hadsell","GreaterEuropean","British","\N","F"
"Raian Ali","GreaterAfrican","Muslim","\N","F"
"Raihan Al-Ekram","GreaterAfrican","Muslim","\N","F"
"Raihan Ul Islam","GreaterAfrican","Muslim","\N","F"
"Raik Niemann","Asian","IndianSubContinent","\N","F"
"Raimar Falke","GreaterEuropean","WestEuropean","Germanic","F"
"Raine A. Kajastila","GreaterAfrican","Muslim","\N","F"
"Raissa D'Souza","GreaterAfrican","Africans","\N","F"
"Raissa M. D'Souza","GreaterAfrican","Africans","\N","F"
"Raíza Hanada","Asian","GreaterEastAsian","Japanese","F"
"Rajaa Najjar","GreaterAfrican","Muslim","\N","F"
"Rajah Annamalai Subramanian","Asian","IndianSubContinent","\N","F"
"Rajalakshmi Nandakumar","Asian","IndianSubContinent","\N","F"
"Rajalaxmi Chandran","Asian","IndianSubContinent","\N","F"
"Rajani Muraleedharan","Asian","IndianSubContinent","\N","F"
"Rajasee Rege","Asian","IndianSubContinent","\N","F"
"Rajasee S. Rege","Asian","IndianSubContinent","\N","F"
"Rajeshwari Ganesan","Asian","IndianSubContinent","\N","F"
"Rajeswari Venugopalan","Asian","IndianSubContinent","\N","F"
"Rajitha Navarathna","Asian","IndianSubContinent","\N","F"
"Rajmonda S. Caceres","GreaterEuropean","WestEuropean","Hispanic","F"
"Rajni Goel","Asian","IndianSubContinent","\N","F"
"Rajvi Shah","Asian","IndianSubContinent","\N","F"
"Rajwinder Kaur Panesar-Walawege","Asian","IndianSubContinent","\N","F"
"Rajyashree Mukherjee","Asian","IndianSubContinent","\N","F"
"Rakhi Rajani","Asian","IndianSubContinent","\N","F"
"Ralitsa Angelova","GreaterEuropean","EastEuropean","\N","F"
"Raluca A. Popa","GreaterEuropean","Jewish","\N","F"
"Raluca Ada Popa","GreaterEuropean","Jewish","\N","F"
"Raluca Budiu","GreaterAfrican","Africans","\N","F"
"Raluca Gordân","GreaterEuropean","WestEuropean","Italian","F"
"Raluca Musaloiu-E","GreaterEuropean","WestEuropean","Italian","F"
"Raluca Paiu","Asian","GreaterEastAsian","EastAsian","F"
"Raluca Sauciuc","GreaterEuropean","WestEuropean","Italian","F"
"Raluca Uricaru","GreaterEuropean","WestEuropean","Italian","F"
"Ramani Duraiswami","Asian","IndianSubContinent","\N","F"
"Ramanpreet Singh Pahwa","Asian","IndianSubContinent","\N","F"
"Ramona Enache","GreaterEuropean","British","\N","F"
"Ramona Su Thompson","GreaterEuropean","British","\N","F"
"Ramona Trestian","GreaterEuropean","WestEuropean","Italian","F"
"Ramya Jayaram Masti","Asian","IndianSubContinent","\N","F"
"Ramya Raghavendra","Asian","IndianSubContinent","\N","F"
"Ramya Rangarajan","Asian","IndianSubContinent","\N","F"
"Ramyaa","GreaterAfrican","Muslim","\N","F"
"Ramyah Gowrishankar","GreaterEuropean","British","\N","F"
"Rana Abdullah M. Almurshed","Asian","IndianSubContinent","\N","F"
"Rana Alkadhi","Asian","IndianSubContinent","\N","F"
"Rana El Kaliouby","GreaterAfrican","Muslim","\N","F"
"Rana Farah","GreaterAfrican","Muslim","\N","F"
"Rana Malhas","GreaterAfrican","Muslim","\N","F"
